Date,Open,High,Low,Close,Volume,Adj Close
2012-04-23,570.61,576.67,556.62,571.70,34518900,569.26
2012-04-24,562.61,567.69,555.00,560.28,38433900,557.88
2012-04-25,615.64,618.00,606.00,610.00,32349200,607.39
2012-04-26,614.27,614.69,602.13,607.70,19145300,605.10
2012-04-27,605.07,606.18,600.50,603.00,14525800,600.42
2012-04-30,597.80,598.40,583.00,583.98,18076600,581.48
2012-05-01,584.90,596.76,581.23,582.13,21821400,579.64
2012-05-02,580.24,587.40,578.86,585.98,15263900,583.47
2012-05-03,590.50,591.40,580.30,581.82,13948200,579.33
2012-05-04,577.08,578.36,565.17,565.25,18928300,562.83
2012-05-07,561.50,572.77,561.23,569.48,16432800,567.05
2012-05-08,569.58,571.50,558.73,568.18,17759000,565.75
2012-05-09,563.70,573.98,560.85,569.18,17168000,566.75
2012-05-10,574.58,575.88,568.44,570.52,11900000,568.08
2012-05-11,565.00,574.47,564.35,566.71,14269500,564.29
2012-05-14,562.57,567.51,557.60,558.22,12593800,555.83
2012-05-15,561.45,563.22,551.75,553.17,17012000,550.81
2012-05-16,554.05,556.89,541.04,546.08,20032000,543.75
2012-05-17,545.31,547.50,530.12,530.12,25615000,527.85
2012-05-18,533.96,543.41,522.18,530.38,26153300,528.11
2012-05-21,534.50,561.54,534.05,561.28,22539500,558.88
2012-05-22,569.55,573.88,552.58,556.97,24816800,554.59
2012-05-23,557.50,572.80,553.23,570.56,20889200,568.12
2012-05-24,575.87,576.50,561.23,565.32,17722500,562.90
2012-05-25,564.59,565.85,558.47,562.29,11732400,559.89
2012-05-29,570.90,574.00,565.31,572.27,13589600,569.82
2012-05-30,569.20,579.99,566.56,579.17,18908200,576.69
2012-05-31,580.74,581.50,571.46,577.73,17559800,575.26
2012-06-01,569.16,572.65,560.52,560.99,18606700,558.59
2012-06-04,561.50,567.50,548.50,564.29,19892700,561.88
2012-06-05,561.27,566.47,558.33,562.83,13864800,560.42
2012-06-06,567.77,573.85,565.50,571.46,14337700,569.02
2012-06-07,577.29,577.32,570.50,571.72,13563100,569.28
2012-06-08,571.60,580.58,569.00,580.32,12411300,577.84
2012-06-11,587.72,588.50,570.63,571.17,21116600,568.73
2012-06-12,574.46,576.62,566.70,576.16,15549300,573.70
2012-06-13,574.52,578.48,570.38,572.16,10485000,569.71
2012-06-14,571.24,573.50,567.26,571.53,12341900,569.09
2012-06-15,571.00,574.62,569.55,574.13,11973400,571.68
2012-06-18,570.96,587.89,570.37,585.78,15729000,583.28
2012-06-19,583.40,590.00,583.10,587.41,12907300,584.90
2012-06-20,588.21,589.25,580.80,585.74,12819400,583.24
2012-06-21,585.44,588.22,577.44,577.67,11655400,575.20
2012-06-22,579.04,582.19,575.42,582.10,10159700,579.61
2012-06-25,577.30,579.80,570.37,570.77,10870800,568.33
2012-06-26,571.33,574.49,567.33,572.03,9876300,569.58
2012-06-27,575.00,576.74,571.92,574.50,7249900,572.04
2012-06-28,571.67,574.00,565.61,569.05,10101300,566.62
2012-06-29,578.00,584.00,574.25,584.00,15053600,581.50
2012-07-02,584.73,593.47,583.60,592.52,14289000,589.99
2012-07-03,594.88,600.00,594.00,599.41,8632600,596.85
2012-07-05,600.56,614.34,599.65,609.94,17299400,607.33
2012-07-06,607.09,608.44,601.58,605.88,14961800,603.29
2012-07-09,605.30,613.90,604.11,613.89,13550200,611.27
2012-07-10,617.97,619.87,605.31,608.21,18284200,605.61
2012-07-11,606.12,607.66,597.22,604.43,16761500,601.85
2012-07-12,600.24,603.47,592.68,598.90,15287200,596.34
2012-07-13,602.95,607.19,600.00,604.97,11122400,602.38
2012-07-16,605.12,611.62,605.02,606.91,10759300,604.32
2012-07-17,610.79,611.50,603.15,606.94,10486600,604.35
2012-07-18,606.59,608.34,603.56,606.26,9025000,603.67
2012-07-19,611.28,615.35,606.00,614.32,15602200,611.69
2012-07-20,613.03,614.44,603.70,604.30,14195400,601.72
2012-07-23,594.40,605.90,587.71,603.83,17427700,601.25
2012-07-24,607.38,609.68,598.51,600.92,20183300,598.35
2012-07-25,574.46,580.80,570.00,574.97,31332600,572.51
2012-07-26,579.76,580.40,570.36,574.88,14522600,572.42
2012-07-27,575.01,585.83,571.59,585.16,14426300,582.66
2012-07-30,590.92,599.44,587.82,595.03,13540800,592.49
2012-07-31,603.23,611.70,602.72,610.76,16511700,608.15
2012-08-01,615.91,616.40,603.00,606.81,13732200,604.22
2012-08-02,602.84,610.69,600.25,607.79,11862800,605.19
2012-08-03,613.63,617.98,611.56,615.70,12318600,613.07
2012-08-06,617.29,624.87,615.26,622.55,10789400,619.89
2012-08-07,622.77,625.00,618.04,620.91,10373100,618.26
2012-08-08,619.39,623.88,617.10,619.86,8739500,617.21
2012-08-09,617.85,621.73,617.80,620.73,7915800,620.73
2012-08-10,618.71,621.76,618.70,621.70,6962100,621.70
2012-08-13,623.39,630.00,623.25,630.00,9958300,630.00
2012-08-14,631.87,638.61,630.21,631.69,12148900,631.69
2012-08-15,631.30,634.00,627.75,630.83,9190800,630.83
2012-08-16,631.21,636.76,630.50,636.34,9090500,636.34
2012-08-17,640.00,648.19,638.81,648.11,15812900,648.11
2012-08-20,650.01,665.15,649.90,665.15,21906600,665.15
2012-08-21,670.82,674.88,650.33,656.06,29025700,656.06
2012-08-22,654.42,669.00,648.11,668.87,20190100,668.87
2012-08-23,666.11,669.90,661.15,662.63,15004600,662.63
2012-08-24,659.51,669.48,655.55,663.22,15619300,663.22
2012-08-27,679.99,680.87,673.54,675.68,15250300,675.68
2012-08-28,674.98,676.10,670.67,674.80,9550600,674.80
2012-08-29,675.25,677.67,672.60,673.47,7243100,673.47
2012-08-30,670.64,671.55,662.85,663.87,10810700,663.87
2012-08-31,667.25,668.60,657.25,665.24,12082900,665.24
2012-09-04,665.76,675.14,664.50,674.97,13139000,674.97
2012-09-05,675.57,676.35,669.60,670.23,12013400,670.23
2012-09-06,673.17,678.29,670.80,676.27,13971300,676.27
2012-09-07,678.05,682.48,675.77,680.44,11773800,680.44
2012-09-10,680.45,683.29,662.10,662.74,17428500,662.74
2012-09-11,665.11,670.10,656.50,660.59,17999400,660.59
2012-09-12,666.85,669.90,656.00,669.79,25436900,669.79
2012-09-13,677.37,685.50,674.77,682.98,21370000,682.98
2012-09-14,689.96,696.98,687.89,691.28,21445500,691.28
2012-09-17,699.35,699.80,694.61,699.78,14215400,699.78
2012-09-18,699.88,702.33,696.42,701.91,13339400,701.91
2012-09-19,700.26,703.99,699.57,702.10,11674100,702.10
2012-09-20,699.16,700.06,693.62,698.70,12020300,698.70
2012-09-21,702.41,705.07,699.36,700.09,20413900,700.09
2012-09-24,686.86,695.12,683.00,690.79,22848800,690.79
2012-09-25,688.26,692.78,673.00,673.54,18528200,673.54
2012-09-26,668.74,672.69,661.20,665.18,20589400,665.18
2012-09-27,664.29,682.17,660.35,681.32,21217500,681.32
